Amien St,McCaffrey S,"Pharmacy Express, unit 3 Connolly Station, Amien St. Dublin 1",01-7920000,01-7920007,pharmacist@pharmacyexpressdublin.ie
Milltown,Mitchell S,"Milltown totalhealth Pharmacy, Milltown S/c, Dublin 6",01-2600262,01-2602893,milltown@totalhealth.ie
Milltown,Phelan M,"Phelans Pharmacy, Unit 1 Mount St Annes, Milltown, Dublin 6",,,
Moore St,Boots Retail Ireland,"Boots, Unit 20, Ilac S/c, Dublin 1",01-8722520,01-8722041,
Mulhuddart,Hoban F,"Touchstore Pharmacy, Mulhuddart Village, Dublin 15",01-6408854,01-6467996,mulhuddart@touchstore.ie
Mulhuddart,Pagni B,"Bradleys Pharmacy, Unit 2, The Crescent, Church Rd, Mulhuddart, Dublin 15",01-6404015,01-6404016,mulhuddart@bradleyspharmacy.ie
Navan Rd,Cullen T,"Cullen’s Pharmacy, 72 Navan Rd, Dublin 7",01-8387296,01-8380099,
Navan Rd,Kelly O,"Mangans Allcare Pharmacy, Navan Rd Primary Care Centre, Navan Rd, Cabra",01-8386460,,mangansnavanroad@allcarepharmacy.ie
Navan Rd,O’Hagan O,"Kinvara Pharmacy, 41 Kinvara Pk, Navan Rd",01-8383202,01-8383202,
NCR,O’Hagan O,"Meaghers Pharmacy, Unit 2 Ground Floor, Whitty Building, Mater hospital, NCR",01-8117781,01-8117781,mater@meagherspharmacy.ie
North Strand Rd,Machaczka I,"The Strand Pharmacy, 149 North Strand rd, Dublin 3",01-4432109,01-4453289,strand.pharmacy@yahoo.ie
"O,Connell St",Allcare Group,"Hamilton Long Allcare Pharmacy, 5 O’Connell St Lr, Dublin 1",01-8748456,01-8748456,hamiltonlong@allcarepharmacy.ie
O’Connell St,Hickey P,"Hickeys Pharmacy, 55 Lr O’connell St, Dublin 1",01-8730427,01-8729640,oconnell@hickeyspharmacies.ie
Old County Rd,McKeon B,"Old county Life Pharmacy, 111 Old County Rd, Dublin 12",01-4540304,01-4535253,
Ongar,Hickey P,"Hickeys Pharmacy, Ongar Village, Ongar, Dublin 15",01-8261674,01-8261874,ongar@hickeyspharmacies.ie
Oxmanstown Rd,Allcare Group,"Byrne’s Allcare Pharmacy, Oxmanstown Rd, Dublin 7",01-8386570,01-8366570,byrnes@allcarepharmacy.ie
Palmerstown,Foley F,"Foleys Life Pharmacy, Unit 8, Palmerstown S/c, Dublin 20",01-6260642,01-6260642,
Palmerstown,Looby J,"Haven Pharmacy Loobys, 42 Manor Rd",01-6264574,01-6264574,reynoldspharmacy@eircom.net
Palmerstown,Wong S,"Palmerstown Pharmacy, Unit 3 Aldi Complex, Old Lucan Rd",01-6208500,,
Parnell St,Foley M,"Parnell St Pharmacy Ltd, 136 Parnell St, Dublin 1",01-8746972,01-8748573,foleyschemist@eircom.net
Parnell St,Hilton K,"Hiltons Pharmacy, Unit 4 Greeg Court, Parnell St, Dublin 1",01-8722224,01-8722223,
Parnell St,Hogan R,"Parnell Pharmacy, 35-41 Parnell St, Dublin 1",01-8732209,01-8732430,
Patrick St,Trainor M,"Ardilaun Pharmacy, 7 Ardilaun Court, Patrick St, Dublin 8",01-4544897,01-4546173,
Pearse St,Conefrey T,"Conefreys Careplus Pharmacy, 136 Pearse St, Dublin 2",01-6773234,01-6773234,tconefrey@gmail.com
Pearse St,O’Leary G,"Gallery Quay Pharmacy, Unit G6 Gallery Quay, Grand Canal Dock, Pearse St, Dublin 2",01-7071883,,gqpharmacy@gmail.com
Phibsboro,Boots retail Ireland,"Boots, Unit 1-3 Phibsboro Place, 149-158 Phibsboro Rd, Dublin 7",01-8117536,01-8117538,Paula.reilly@boots.com
Phibsboro,Collis R,"Collis Pharmacy, 350 NCR, Phibsboro, Dublin 7",01-8300295,01-8305244,collispharm@eircom.net
Phibsboro,Hickey P,"Hickeys Pharmacy, Phibsboro S/c, Dublin 7",01-8309551,01-8309288,phibsboro@hickeyspharmacies.ie
Portland St North,Beggs Pharmacy Ltd,"Pure Pharmacy, 4 Bakers Yard, Portland St North, Dublin 1",01-8178400,,purepharmacyd1@gmail.com
Prussia St,McFadden D,"McFaddens Pharmacy, 1A Prussia St, Dublin 7",01-8178400,,info@mcfaddenspharmacy.ie
Prussia St,Wong P,"Park Pharmacy, Unit 2 – The Park S/c, Prussia St, Dublin 7",01-8388104,01-8388104,
Prussia St,Adams P,"Adams Pharmacy, 11 Main St, Raheny, Dublin 5",01-8313831,01-8313676,
Raheny,Conlon A,"Greendale Pharmacy, 3 kish House, Greendale Rd, Kilbarrack, Dublin 5",01-8396038,01-8394682,
Raheny,Duffy R,"Hilltop Pharmacy, Hilltop S/c, Station Rd",01-8329449,01-8511041,rbeggs@live.co.uk
Raheny,Kiely S,"Cronins Pharmacy, 1 Edenmore S/c",01-8478521,01-8473922,croninspharmacy@gmail.com
Raheny ,Lloyds Pharmacy,"Llyods Pharmacy, 413 Howth Rd",01-8314341,01-8329839,
Raheny,McNamara D,"McNamara’s Pharmacy, Raheny S/c",01-8329736,01-8329736,
Raheny,Magner P,"Magners Pharmacy, 24 Edenmore S/c",01-8475725,01-8474995,
Raheny,Tully R,"Tullys totalhealth Pharmacy, 439 Howth Rd",01-8510444,01-8510155,tullys.raheny@totalhealth.ie
Ranelagh,Boden N,"Dunville Pharmacy, 29 Dunville Avenue, Ranelagh, Dublin 6",01-4971289,01-4126730,niamhboden@gmail.com
Ranelagh,Kilgallen J,"Burkes Pharmacy, 21/23 Ranelagh Rd",01-4972190,01-4910164,johnstonspharmacy@eircom.net
Ranelagh,Leech M,"Leech Pharmacy, 43 Ranelagh",01-4971407,01-4971107,leechpharmacy@eircom.net
Ranelagh,O’Hagan O,"Meaghers Pharmacy, 69 Ranelagh Village",01-4971665,01-4974120,
Ranelagh,O’Hagan O,"Meaghers Pharmacy, 22-24 Sandford Rd",01-4986970,01-4986970,
Rathfarnham,Allcare Group,"Tony Walsh Allcare Pharmacy, Rathfarnham S/c, Rathfarnham, Dublin 14",01-4937812,01-4937812,twrathfarnham@allcarepharmacy.ie
Rathfarnham,Boots Retail Ireland,"Boots, Nutgrove S/c",01-4933100,01-4936991,andrea.murray@boots.com
Rathfarnham,Breenan P,"Haven Pharmacy Breenans, Taylors Lane",01-4932001,01-4932001,breenanspharmacy@eircom.net
Rathfarnham,Buckley A,"Andrew Buckleys totalhealth Pharmacy, 5 St Endas Drive",01-4933433,01-4933433,buckleys@totalhealth.ie
Rathfarnham,Greene C,"Haven Pharmacy Greenes, 36 Main St, Dublin 14",01-4905256,01-4905405,greenes@ipumail.ie
Rathfarnham,Hilton K,"Hiltons Pharmacy, 11 Main St, Dublin 14",01-4055654,01-4055912,
Rathfarnham,Lloyds Pharmacy,"Lloyds Pharmacy, Nutgrove S/c",01-4942353,01-4946524,
Rathfarnham,Shannon C,"Shannon’s Pharmacy, rosemount, Marian Rd",01-4943673,01-4943673,criofan@shannonspharmacy.net
Rathfarnham,Stack A,"Marley Park Pharmacy, Unit 3 Grange Retail Centre, Grange Rd, Dublin 16",01-4936146,01-4936146,
Rathgar,Lloyds Pharmacy,"Lloyds Pharmacy, 8 Terenure Rd E, Rathgar, Dublin 6",01-4905306,01-4905306,
Rathgar,O’Connell M,"Rathgar Pharmacy, 5-7 Terenure Road East, Rathgar, Dublin 6",01-4970046,01-4970049,
Rathmines,Allcare Group,"Bourkes Allcare Pharmacy, 220 Rathmines Rd Lr, Rathmines, Dublin 6",01-4971650,01-4971564,bourkes@allcarepharmacy.ie
Rathmines,Boots retail Ireland,"Boots, 302 Rathmines Rd Lr",01-4969700,01-4969559,
Rathmines,Byrne C,"Life Pharmacy, Unit 18 Swan S/c",01-4972039,01-4972288,chris.byrne@ireland.com
Rathmines,Lloyds Pharmacy,"Lloyds Pharmacy, 282 Lr Rathmines Rd",01-4970750,01-4970750,
Rathmines,Ryan G,"Rathmines Pharmacy, 114 Rathmines Rd Lr",01-4979999,01-4970157,info@rathminespharmacy.ie
Rathmines,Sweeney P,"Roche’s Chemists, 165 Upper Rathmines Rd",01-4972693,01-4972406,rchem@iol.ie
Rialto,Cassidy C,"Haven Pharmacy Cassidys, 449 S/c, Rialto, Dublin 8",01-4532403,01-4532403,clodacassidy@hotmail.com
Rialto,O’Dowd P,"Walsh’s Pharmacy, 491 South Circular Rd",01-4533739,01-4533739,walshspharmacy@eircom.net
Rindsend,Lucey P,"Shelbourne Pharmacy, Irishtown Rd, Ringsend, Dublin 4",01-6684481,01-6684481,shelbournepharmacy@gmail.com
Ringsend,Murphy N,"Lloyds Pharmacy, Unit 2 The Bottleworks, Fitzwilliam St",01-6600166,01-6600168,ringsend@lloydspharmacy.ie
Ringsend,Pagni B,"Bradleys Pharmacy, 6 Thorncastle St",01-6684618,01-6684304,ringsendpharmacist@bradleys.ie
Sandyford,Farmer L,"Haven Pharmacy Beacon, 34 The Mall, Beacon Court, Sandyford, Dublin 18",01-2930155,01-2930156,beaconpharm@eircom.net
Sandyford,Hayes S,"Mulveys Pharmacy, Sandyford Village",01-2946717,01-2946717,seanushayes1@gmail.com
Sandyford,Littleton S,"Your Local Pharmacy, Unit 6 C Beacon South Quarter, Sandyford Industrial Estate",01-2063388,01-2063388,
Sandyford,McCabe R,"McCabes Pharmacy, 2 Sandyford Hall S/c, Kilgobbin Rd",01-2956368,01-2956368,sandyford@mccabespharmacy.com
Sandyford,McKenna T,"Balally Pharmacy, 9 Balally S/c, Dublin 16",01-2954084,01-2958287,tom@balallypharmacy.ie
Sandyford,O’Connell M,"Blackglen Pharmacy, Unit 1, Blackglen Village Centre, Simonsridge",01-2921751,01-2921436,blackglenpharmacy@yahoo.com
Sandymount,Johnson P,"McAuliffe’s Pharmacy, 93 Sandymount Rd, Dublin 4",01-6684121,01-6683011,
Sandymount,Murphy G,"Sandymount Pharmacy, 1a Sandymount Gr",01-2837188,01-2837188,
Sandymount,Shanahan D,"O’Connors Pharmacy, 6 Bath Av",01-6684730,01-6684730,deloresshanahan@eircom.net
Santry,Boots Retail Ireland,"Boots, Unit 95b Omni PK S/c, Dublin 9",01-8163215,01-8163217,matthew.lynch@boots.com
Santry ,Breen J,"Magners Pharmacy, Old Swiss Cottage Bldg",01-8623988,01-8623989,magnersantry@gmail.com
Santry,Lloyds Pharmacy,"Lloyds Pharmacy, Omni Park S/c",01-8429857,01-8429777,
Santry,McKay A,"McKays Pharmacy, 33 Shanard Rd",01-8423310,01-8423310,info@shanardpharmacy.com
Santry,O’Sullivan P,"Life Pharmacy, 241 Swords Rd",01-8427784,01-8427466,osullivanspharmacy@gmail.com
Santry,Petit De Mange G,"ODC Chemists, Lorcan Av",01-8421026,01-8421026,
Shankhill,Keshwara H,"Shankhill Pharmacy, Violet House, Main St, Dublin 18",01-2823263,01-2824721,shankhillpharmacy@gmail.com
Skerries,Stack A,"Windmill Pharmacy, Tennis Court Lane, Skerries",01-8492519,01-8492504,ade@soshealthcare.ie
Smithfield,McSlorey R,"Market Pharmacy Smithfield, Unit 8B Thundercut Alley, Smithfield, Dublin 7",01-8747097,01-8747097,marketpharmacysmithfield@gmail.com
South Circular Rd,Kilgallen J,"Leonards Corner Pharmacy, 106 South Circular Rd, Dublin 8",01-4534282,01-4532183,
South Circular Rd,Vyas C,"South Circular Pharmacy, 80 South Circular Rd",01-4537069,01-4537546,
South Great Georges St,Galligan C,"Medipharm, 16 South Great Georges St, Dublin 2",01-6719765,01-6452012,
Stepaside,Ghosn S,"Belarmine Pharmacy, Unit 22 Belarmine Plaza, Belarmine, Stepaside, Dublin 18",01-2950819,01-2950820,belarminepharmacy@yahoo.com
Stepaside,Mulvey F,"Mulveys Pharmacy, Stepaside Village",01-2069061,01-2069061,
Stephen St Lr,Hyland D,"Burkes Pharmacy, 36a Stephen St Lr, Dublin 2",01-6771966,01-6771966,hylanddj@eircom.net
Stephens Green,Boots Retail Ireland,"Boots, St Stephens Green S/c, Dublin 2",01-4784368,01-4751862,aine.murphy@boots.co.uk
Stoneybatter,Dillon J,"Janet Dillon Pharmacy, Unit 2 Norseman Court, Stoneybatter, Dublin 7",01-6794362,01-6794672,janetdillon@eircom.net
Stoneybatter,Lloyds Pharmacy,"Lloyds Pharmacy, 37 Stoneybatter",01-6792086,01-6707774,
Summerhill,Allen Gough M,"Allens Pharmacy, 10 Summerhill Parade, Dublin 1",01-8555249,,allenspharmacyltd@gmail.com
Sundrive Rd,Good A,"Shopping Centre Pharmacy, U13 Supervalu S/c, Sundrive Rd, Dublin 6W",01-4929731,01-4921740,a.good@hotmail.com
Sundrive Rd,Jordan D,"Jordans Pharmacy, 43 Sundrive Rd, Kimmage, Dublin 12",01-4920130,01-4920135,david@jordanspharmacy.ie
Sutton,McCartan B,"McCartans Pharmacy, 3 Bayside S/c, Sutton, Dublin 13",01-8393939,01-8325670,bayside@mccartans.ie
Sutton,McCartan B,"McCartans Pharmacy, 11 Howth Rd, Unit 1 Superquinn S/c, Sutton Cross, Dublin 13",01-8322240,01-8393941,sutton@mccartans.ie
Talbot St,McSweeney Group,"Clearys Pharmacy, Irish Life Mall, Talbot St, Dublin 1",01-8786935,01-8786942,
Talbot St,Mulgrew P,"Pharmacy O’Regan, 36a Talbot St, Dublin 1",01-8555396,01-8555396,talbotstreet@pharmacyoregan.ie
Talbot St,Murray L,"Liam Murray Chemist, 20/21 Talbot St, Dublin 1",01-8554216,01-8555880,
Tallaght,Best R,"Kingswood Pharmacy, Kingswood S/c, Tallaght, Dublin 24",01-4623278,01-4623278,robertmbest@hotmail.com
Tallaght,Boots retail Ireland,"Boots, Level 2 Unit 245, The Square",01-4598377,01-4598563,a.farry@boots.com
Tallaght,Boots Retail Ireland,"Boots, Unit 319, The Square",01-4622155,01-4598566,alan.mitchel@boots.com
Tallaght,Cadden F,"Brookfield Pharmacy, Unit 3 Sundale S/c, Fortunestown Way",01-4628318,01-4628318,
Tallaght,Cadden F,"Killinarden Pharmacy, 4 Killinarden S/c",01-4511544,01-4544544,
Tallaght,Ellis M,"Mark Ellis Pharmacy, Unit 9 Springfield S/c, Alderwood",01-4940818,01-4940818,
Tallaght,Health Express Pharmacies,"Health Express Pharmacy, Units 120-121, The Square S/c",01-4597236,01-4597238,
Tallaght,Health Express Pharmacies,"Health Express Pharmacy, Unit 6 Ailesbury S/c",01-4610278,01-4610278,
Tallaght,Hickey P,"Hickeys Pharmacy, Fortunes Lane S/c",01-4514144,01-4514144,tallaght@hickeyspharmacies.ie
Tallaght,Hickey P,"Hickeys Pharmacy, 254 The Square",01-4597444,01-4147993,thesquare@hickeyspharmacies.ie
Tallaght,Joyce P,"New Bawn Pharmacy, Unit 5St Dominics S/c",01-4512344,01-4610623,
Tallaght,Lloyds Pharmacy,"Lloyds Pharmacy, Main Street",01-4140878,01-4140880,
Tallaght,Lloyds Pharmacy,"Lloyds Pharmacy, 4 Aylesbury S/c",01-4521594,01-4596030,
Tallaght,McDermott D,"D Moran Pharmacy (Firhouse Ltd), Firhouse S/c",01-4516747,01-4517978,moranspharmacyfirhouse@eircom.net
Tallaght,Mulgrew P,"Pharmacy O’Regan, Old Bawn S/c",01-4524312,01-4524109,tallaght@pharmacyoregan.ie
Tallaght,O’Hagan O,"Glenview Pharmacy, 192 Glenview Pk",01-4511465,01-4511465,
Tallaght,O’Hagan O,"Meaghers Pharmacy, Unit 5, Castletymon S C",01-4523562,01-4523562,
Tallaght ,O’Shea B,"ODC Chemists, Kilnamanagh S C",01-4516155,01-4516155,
Tallaght,Whelan P,"Rossfield Pharmacy, Unit 2/3 Brookfield Enterprise Cent",01-4511453,01-4511454,rossfieldpharmacy@gmail.com
Temple Bar,Maguire K,"Temple Bar Pharmacy, 21 Essex St E, Temple Bar, Dublin 2",01-6709751,01-6709751,templebarpharmacy@eircom.net
Templeogue,Barry J,"Barrys Careplus Pharmacy, 6 Cypress Pk, Templeogue, Dublin 6W",01-4925245,01-4920046,pharmacy@dna.ie
Templeogue,O’Sullivan D,"Maxwell’s Pharmacy, Orwell S C",01-4505879,01-4600310,maxwellspharmacy@gmail.com
Templeogue,Shannon C,"Shannon’s Pharmacy, Templeogue Village",01-4907515,01-4907515,fionnualaf@eircom.net
Terenure,Horan A,"Fortfield Pharmacy, 48 Fortfield Pk, Terenure, Dublin 6",01-4900789,01-4900789,
Terenure,Lavelle G,"Greenlea Pharmacy, 116 Greenlea Rd",01-4909273,01-4909216,greenleapharmacy@eircom.net
Terenure,O’Connell M,"Terenure Life Pharmacy, 86 Terenure Road E, Dublin 6",01-4906340,01-4906340,terenurepharmacy@eircom.net
Terenure,Pagni B,"Bradleys Pharmacy, 2 Fortfield Rd, Kimmage Cross Roads",01-4908098,01-4908139,kcr@bradleyspharmacy.ie
Terenure Rd Nth,Hickey P,"Hickeys Pharmacy, 85 Terenure Rd N, Dublin 6",01-4907179,01-4920301,terenure@hickeyspharmacies.ie
Thomas St,Carragher A,"Reillys Pharmacy, Unit 2 Bertram Ct, Cornmarket, Thomas St, Dublin 8",01-4548198,01-4548198,info@pharmacy.ie
Tyrellstown,Hickey P,"Hickeys Pharmacy, Unit 2 Tyrellstown T C, Dublin 15",01-8856590,01-8770096,tyrrelstown@hickeyspharmacies.ie
U C D,Phelan E,"Procare Pharmacy, Students Centre, University College, Dublin 4",01-7163144,01-2607855,
Walkinstown,Dempsey C,"Greenhills Pharmacy, 133 St Peters Rd, Walkinstown, Dublin 12",01-4560039,01-4560039,
Walkinstown,Johnson P,"Johnson Pharmacy, Superquinn S C",01-4505864,01-4604210,patrickmjohnson7@eircom.net
Walkinstown,Lonergan S,"Lonergans Pharmacy, 3 Harty Ave",01-5574949,01-5574830,
Walkinstown,McHugh P,"St Patricks Pharmacy, St Patricks Rd, Greenhills",01-4606024,01-4606024,
Walkinstown,McLaughlin D,"Haven Pharmacy McLaughlins, 153 Drimnagh Rd",01-4557354,01-4099033,mclaughlins.walkinstown@havenpharmacy.ie
Walkinstown,O’Sullivan D,"Declan O’Sullivan, Ballymount Rd, Walkinstown Cross",01-4501494,,declan.osullivan@swahb.ie
Westland Row,Rafter C,"Trinity Pharmacy, 40 Westland Row, Dublin 2",01-6110883,01-6110884,
Wexford St,Wexford St Pharmacy,"Wexford St Pharmacy, 6 Wexford St, Dublin 2",01-4750105,01-4785176,
Whitehall,C&D Medical Hall Ltd,"Conways Pharmacy, 95 Swords Rd, Whitehall, Dublin 9",01-8375379,01-5312290,conwayspharmacy@canddmedicalgroup.com
Whitehall,Dunne A,"Adrian Dunne Pharmacy, 394 Collins Ave",01-8378143,01-8844785,whitehall@dunnepharmacies.ie
Whitehall,Malone E,"Lalor’s Pharmacy, 69 Collins Av West",01-8316943,01-8319889,
Whitehall Rd W,Allcare Group,"Perrystown Allcare Pharmacy, 182 Whitehall Rd W, Perrystown, Dublin 12",01-4506486,01-4506486,perrystown@allcarepharmacy.ie
Windy Arbour,Austin M,"Hunters Pharmacy, 5 Olivermount Tce, Windy Arbour, Dundrum, Dublin 14",01-2697764,01-2830291,hunterspharmacy@eircom.net
